Epoch,Test Loss,Accuracy,Num Dendrites,Num Somas,Total Parameters,Regularized,Model Type,RF Type
5,0.6213489835020862,0.7751,128,32,104938,False,dendritic,global
5,0.5023721890358985,0.8178,256,32,209514,False,dendritic,global
6,0.4376713820273363,0.8424,256,128,235146,False,dendritic,global
6,0.6077281470540203,0.78,128,32,104938,False,dendritic,global
6,0.48999201195149483,0.8228,256,32,209514,False,dendritic,global
7,0.42853628834591634,0.8455,256,128,235146,False,dendritic,global
7,0.6035736267325245,0.784,128,32,104938,False,dendritic,global
7,0.4799290474834321,0.8275,256,32,209514,False,dendritic,global
8,0.4242787589377995,0.8483,256,128,235146,False,dendritic,global
8,0.5926649555375304,0.7874,128,32,104938,False,dendritic,global
8,0.4705982836364191,0.8313,256,32,209514,False,dendritic,global
9,0.4192125595445874,0.851,256,128,235146,False,dendritic,global
9,0.587696422881718,0.7894,128,32,104938,False,dendritic,global
9,0.46627076498315306,0.8345,256,32,209514,False,dendritic,global
10,0.4163177735820601,0.8496,256,128,235146,False,dendritic,global
10,0.5858357526079009,0.7897,128,32,104938,False,dendritic,global
10,0.46187515651123434,0.8349,256,32,209514,False,dendritic,global
11,0.41159969134421287,0.8505,256,128,235146,False,dendritic,global
11,0.5827813963346844,0.7932,128,32,104938,False,dendritic,global
11,0.4648593943330306,0.8331,256,32,209514,False,dendritic,global
12,0.4092585633072672,0.8501,256,128,235146,False,dendritic,global
12,0.5786262758170502,0.7949,128,32,104938,False,dendritic,global
12,0.4564000692548631,0.8396,256,32,209514,False,dendritic,global
13,0.407216049259222,0.8517,256,128,235146,False,dendritic,global
13,0.5819791027262241,0.7906,128,32,104938,False,dendritic,global
13,0.4521600298489196,0.8388,256,32,209514,False,dendritic,global
14,0.4021382326189476,0.8521,256,128,235146,False,dendritic,global
14,0.5744918060453632,0.7966,128,32,104938,False,dendritic,global
14,0.4493358127678497,0.8397,256,32,209514,False,dendritic,global
15,0.40354238903220696,0.8546,256,128,235146,False,dendritic,global
15,0.5716153164453144,0.7988,128,32,104938,False,dendritic,global
15,0.4472440737712232,0.8406,256,32,209514,False,dendritic,global
16,0.40286683432663545,0.8507,256,128,235146,False,dendritic,global
16,0.5725865722457065,0.7981,128,32,104938,False,dendritic,global
16,0.4438889311461509,0.8413,256,32,209514,False,dendritic,global
17,0.4009860329612901,0.8538,256,128,235146,False,dendritic,global
17,0.5677130848546571,0.8006,128,32,104938,False,dendritic,global
17,0.44481643072411986,0.8413,256,32,209514,False,dendritic,global
18,0.39697056763534305,0.8559,256,128,235146,False,dendritic,global
18,0.5663110247895687,0.7976,128,32,104938,False,dendritic,global
18,0.4411911615465261,0.8423,256,32,209514,False,dendritic,global
19,0.3942964024181607,0.8573,256,128,235146,False,dendritic,global
19,0.5655876511259924,0.7994,128,32,104938,False,dendritic,global
19,0.44187033855462376,0.8411,256,32,209514,False,dendritic,global
0,0.6714420903332626,0.7599,256,128,235146,False,dendritic,local
0,0.8511208295822144,0.6969,128,32,104938,False,dendritic,local
0,0.7127141567725169,0.7385,256,32,209514,False,dendritic,local
1,0.5548451855967317,0.7975,256,128,235146,False,dendritic,local
1,0.6852893059766745,0.7532,128,32,104938,False,dendritic,local
1,0.5952059513405908,0.7872,256,32,209514,False,dendritic,local
2,0.5133974869039994,0.811,256,128,235146,False,dendritic,local
2,0.6222443124161491,0.773,128,32,104938,False,dendritic,local
2,0.5535189867774143,0.8001,256,32,209514,False,dendritic,local
3,0.48775900806052774,0.8235,256,128,235146,False,dendritic,local
3,0.5889048153841043,0.7863,128,32,104938,False,dendritic,local
3,0.5272216862892802,0.8102,256,32,209514,False,dendritic,local
4,0.47058780698836605,0.8286,256,128,235146,False,dendritic,local
4,0.5711392201954806,0.792,128,32,104938,False,dendritic,local
5,0.45653285519986214,0.836,256,128,235146,False,dendritic,local
4,0.5093313221690021,0.8175,256,32,209514,False,dendritic,local
5,0.555791116402119,0.7982,128,32,104938,False,dendritic,local
6,0.44556766974775097,0.839,256,128,235146,False,dendritic,local
5,0.4975791201938557,0.821,256,32,209514,False,dendritic,local
6,0.5512193760162667,0.7974,128,32,104938,False,dendritic,local
7,0.4407223906320862,0.8386,256,128,235146,False,dendritic,local
6,0.4854484447572805,0.8263,256,32,209514,False,dendritic,local
7,0.5418799483700644,0.8033,128,32,104938,False,dendritic,local
8,0.4350117867506003,0.8421,256,128,235146,False,dendritic,local
7,0.4776376368878763,0.8301,256,32,209514,False,dendritic,local
8,0.535236376561696,0.8046,128,32,104938,False,dendritic,local
9,0.4254239409030238,0.8443,256,128,235146,False,dendritic,local
8,0.4693033787645871,0.8327,256,32,209514,False,dendritic,local
9,0.5298002705543856,0.8077,128,32,104938,False,dendritic,local
10,0.4219902493531191,0.849,256,128,235146,False,dendritic,local
9,0.463931372648553,0.836,256,32,209514,False,dendritic,local
10,0.527571048540405,0.8091,128,32,104938,False,dendritic,local
11,0.41754952129683914,0.847,256,128,235146,False,dendritic,local
10,0.4608324728434599,0.8377,256,32,209514,False,dendritic,local
11,0.5237367130533049,0.8109,128,32,104938,False,dendritic,local
12,0.4154111612823945,0.8503,256,128,235146,False,dendritic,local
11,0.45329036893723884,0.8382,256,32,209514,False,dendritic,local
12,0.5204688535083698,0.8117,128,32,104938,False,dendritic,local
13,0.4117944631018216,0.8526,256,128,235146,False,dendritic,local
12,0.45559186856203443,0.8351,256,32,209514,False,dendritic,local
13,0.5187180957084969,0.8103,128,32,104938,False,dendritic,local
14,0.40591016223159015,0.8544,256,128,235146,False,dendritic,local
13,0.45093535226357134,0.8412,256,32,209514,False,dendritic,local
14,0.5146075234382967,0.8115,128,32,104938,False,dendritic,local
15,0.40415067706681507,0.8537,256,128,235146,False,dendritic,local
14,0.4500829392596136,0.8398,256,32,209514,False,dendritic,local
15,0.5112564393991157,0.8169,128,32,104938,False,dendritic,local
16,0.40532170669941964,0.8568,256,128,235146,False,dendritic,local
15,0.4447993241910693,0.843,256,32,209514,False,dendritic,local
16,0.5095348429830768,0.8176,128,32,104938,False,dendritic,local
17,0.401250770197639,0.8562,256,128,235146,False,dendritic,local
16,0.4426760677295395,0.8433,256,32,209514,False,dendritic,local
